-8.90964060,-8.90964060,-0.00027020
-8.59470963,-8.59470963,-0.00037023
-9.20059302,-9.20059302,-0.00020198
-8.73278832,-8.73278832,-0.00032248
-9.01225522,-9.01225522,-0.00024384
-9.20059302,-9.20059302,-0.00020198
-9.38454575,-1.56009982,-0.23597440
-8.98757175,-8.98757175,-0.00024994
-7.93844555,-7.93844555,-0.00071378
-9.08284785,-9.08284785,-0.00022722
-8.71653573,-8.71653573,-0.00032776
-9.88852619,-2.19185911,-0.11851289
-9.42569366,-9.42569366,-0.00016126
-9.16983083,-9.16983083,-0.00020829
-9.20059302,-1.59919069,-0.22584841
-9.62924806,-9.62924806,-0.00013156
-8.85409391,-8.85409391,-0.00028563
-1.40073979,-8.83971138,-0.28310518
-8.34355384,-8.34355384,-0.00047596
-9.12728480,-9.12728480,-0.00021734
-7.49720722,-7.49720722,-0.00110988
-8.57602798,-8.57602798,-0.00037722
-8.24354551,-8.24354551,-0.00052604
-8.29479936,-8.29479936,-0.00049975
-9.24019039,-9.24019039,-0.00019414
-9.54702687,-9.54702687,-0.00014284
-9.31497062,-9.31497062,-0.00018015
-9.69295169,-5.07783117,-0.00631503
-8.76452191,-8.76452191,-0.00031240
-9.78148940,-9.78148940,-0.00011298
-7.93844555,-0.00071378,-7.93844555
-8.31947369,-8.31947369,-0.00048757
-8.85409391,-8.85409391,-0.00028563
-9.47293538,-9.47293538,-0.00015382
-2.18538880,-9.09414358,-0.11939896
-7.49720722,-7.49720722,-0.00110988
-9.46521512,-9.46521512,-0.00015501
-9.45743480,-9.45743480,-0.00015623
-8.85409391,-8.85409391,-0.00028563
-8.64874763,-2.94163737,-0.05440823
-8.16137502,-8.16137502,-0.00057110
-8.57602798,-3.27272307,-0.03883610
-8.13241267,-1.91580657,-0.15960189
-8.61304868,-8.61304868,-0.00036350
-9.08284785,-9.08284785,-0.00022722
-8.36706773,-8.36706773,-0.00046490
-0.16834499,-9.64878883,-1.86514824
-8.82511897,-8.82511897,-0.00029403
-8.86827251,-8.86827251,-0.00028161
-8.63105745,-8.63105745,-0.00035702
-8.39004141,-8.39004141,-0.00045434
-8.34355384,-8.34355384,-0.00047596
-9.65521848,-1.75384113,-0.19015838
-9.49574485,-9.49574485,-0.00015035
-9.28757915,-9.28757915,-0.00018515
-1.50383944,-8.74878099,-0.25158644
-1.13308063,-8.68321598,-0.38891637
-0.54676690,-8.64874763,-0.86510703
-1.95951773,-8.86827251,-0.15206454
-8.43446354,-8.43446354,-0.00043459
-9.03634406,-9.03634406,-0.00023804
-0.43325798,-8.21689858,-1.04601010
-2.04420018,-9.04817432,-0.13880392
-1.59476983,-2.44111644,-0.34251683
-1.83753352,-8.39004141,-0.17368307
-0.55612712,-9.95717049,-0.85207953
-9.27827935,-9.27827935,-0.00018688
-7.90211755,-7.90211755,-0.00074019
-7.44014668,-7.44014668,-0.00117509
-3.94654460,-9.24984951,-0.01960847
-8.96226355,-1.87135373,-0.16728712
-8.07184315,-8.07184315,-0.00062461
-8.81031047,-8.81031047,-0.00029842
-2.35048312,-9.03634406,-0.10030897
-8.18952211,-8.18952211,-0.00055525
-8.70001462,-8.70001462,-0.00033322
-3.68657006,-9.68053148,-0.02544119
-7.69757535,-7.69757535,-0.00090827
-1.33489585,-8.93629819,-0.30559775
-4.30793770,-8.92305822,-0.01368781
-8.47699600,-8.47699600,-0.00041649
-8.88225288,-8.88225288,-0.00027770
-8.36706773,-8.36706773,-0.00046490
-8.34355384,-8.34355384,-0.00047596
-8.39004141,-8.39004141,-0.00045434
-8.59470963,-8.59470963,-0.00037023
-9.22058769,-9.22058769,-0.00019798
-9.84177171,-3.28926382,-0.03804925
